TAG_CAT;TAG_ID;TAG_NAME;TAG_CNT;FR_ID;MAL_ID;MAL_NAME;MAL_CNT
3;29;touhou;604240;29;9875;Anime Tenchou x Touhou Project;10516
3;18;original;395086;;;;
3;1231860;kantai_collection;300356;1231860;21511;Kantai Collection: KanColle;141236
3;662939;fate_(series);127659;662939;;;
3;2831;idolmaster;103339;2831;10278;The iDOLM@STER;102438
3;385445;vocaloid;85897;385445;;;
3;1283444;fate/grand_order;70642;662939;34321;Fate/Grand Order: First Order;68559
3;659061;idolmaster_cinderella_girls;61451;2831;23587;The iDOLM@STER Cinderella Girls;46440
3;2999;pokemon;56394;2999;527;Pokemon;298374
3;592923;mahou_shoujo_madoka_magica;50470;592923;9756;Mahou Shoujo MadokaMagica;635296
3;635352;love_live!;34944;635352;15051;Love Live! School Idol Project;233332
3;464822;precure;33122;464822;;;
3;547302;pokemon_(game);30552;2999;;;
3;1441351;idolmaster_(classic);30312;2831;;;
3;480701;jojo_no_kimyou_na_bouken;28827;480701;14719;JoJo no Kimyou na Bouken (TV);339574
3;687973;girls_und_panzer;28140;687973;14131;Girls & Panzer;147291
3;5;fate/stay_night;26913;662939;356;Fate/stay night;499055
3;592975;love_live!_school_idol_project;26088;635352;19111;Love Live! School Idol Project 2nd Season;138715
3;7525;final_fantasy;24491;7525;426;Final Fantasy;11697
3;475152;k-on!;23488;475152;5680;K-On!;500389
3;13133;fire_emblem;22340;13133;2782;Fire Emblem;7292
3;1267600;granblue_fantasy;21659;1267600;31629;Granblue Fantasy The Animation;81147
3;1431357;azur_lane;21474;;38328;Azur Lane;41253
3;527593;lyrical_nanoha;21399;527593;76;Mahou Shoujo Lyrical Nanoha;73400
3;76;gundam;21309;76;3288;Gundam Evolve;7233
3;9522;suzumiya_haruhi_no_yuuutsu;20029;9522;849;Suzumiya Haruhi no Yuuutsu;542064
3;1318624;kemono_friends;18796;1318624;33089;Kemono Friends;45894
3;1379643;world_witches_series;18681;11797;;;
3;11485;persona;18059;11485;;;
3;12658;neon_genesis_evangelion;16190;12658;30;Neon Genesis Evangelion;641101
3;395913;to_aru_majutsu_no_index;15223;395913;4654;Toaru Majutsu no Index;407837
3;11797;strike_witches;14033;11797;3667;Strike Witches;115592
3;381650;fate/zero;13836;662939;10087;Fate/Zero;666060
3;1303004;touken_ranbu;13305;1303004;33023;Touken Ranbu: Hanamaru;49917
3;1324674;girls_frontline;13034;;;;
3;513317;fate/extra;12922;662939;33047;Fate/Extra: Last Encore;75604
3;3059;street_fighter;12031;3059;876;Street Fighter II V;16852
3;1295739;overwatch;11479;;;;
3;571639;tales_of_(series);11144;571639;;;
3;1231245;kill_la_kill;11032;;18679;Kill la Kill;761708
3;379178;lucky_star;10718;379178;1887;LuckyStar;379458
3;7446;mahou_shoujo_lyrical_nanoha;10650;527593;;;
3;126800;code_geass;10408;126800;1575;Code Geass: Hangyaku no Lelouch;986897
3;646849;fate/apocrypha;10283;662939;34662;Fate/Apocrypha;174573
3;709959;inazuma_eleven_(series);10089;709959;5231;Inazuma Eleven;69544
3;575806;league_of_legends;9962;575806;;;
3;17035;mahou_shoujo_lyrical_nanoha_strikers;9885;527593;1915;Mahou Shoujo Lyrical Nanoha StrikerS;40381
3;401223;blazblue;9610;401223;18767;BlazBlue: Alter Memory;64469
3;668121;monogatari_(series);9505;668121;17074;Monogatari Series: Second Season;303614
3;537271;sword_art_online;9230;537271;11757;Sword Art Online;1301616
3;405195;persona_4;9081;11485;10588;Persona 4 the Animation;167555
3;383606;umineko_no_naku_koro_ni;9056;383606;4896;Umineko no Naku Koro ni;149285
3;1309317;love_live!_sunshine!!;9026;635352;32526;Love Live! Sunshine!!;86104
3;6226;rozen_maiden;8976;6226;64;Rozen Maiden;148187
3;1471829;naruto_(series);8919;1471829;;;
3;528471;mario_(series);8865;528471;;;
3;465517;tengen_toppa_gurren_lagann;8863;465517;2001;Tengen Toppa Gurren Lagann;787535
3;398209;the_legend_of_zelda;8819;398209;;;
3;1354782;pokemon_sm;8526;2999;34034;Pokemon Sun & Moon;28281
3;515681;bishoujo_senshi_sailor_moon;8464;515681;530;Bishoujo Senshi Sailor Moon;183151
3;407852;to_aru_kagaku_no_railgun;8414;395913;6213;Toaru Kagaku no Railgun;293328
3;657790;smile_precure!;8256;464822;12191;Smile Precure!;14616
3;863718;idolmaster_million_live!;7976;2831;29801;The iDOLM@STER Million Live! 1st Anniversary PV;1972
3;706709;danganronpa;7764;706709;16592;Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation;421293
3;8574;dragon_quest;7636;8574;;;
3;8038;higurashi_no_naku_koro_ni;7510;8038;934;Higurashi no Naku Koro ni;452086
3;1292897;neptune_(series);7467;1292897;;;
3;3105;naruto;7433;1471829;20;Naruto;980265
3;1500438;splatoon_(series);7320;1500438;89995;;
3;815229;gochuumon_wa_usagi_desu_ka?;7121;815229;21273;Gochuumon wa Usagi desu ka?;122449
3;617243;tiger_&_bunny;7040;;9941;Tiger & Bunny;137864
3;604625;shingeki_no_kyojin;7021;;16498;Shingeki no Kyojin;1345842
3;540387;yuu-gi-ou;6948;540387;550;YuGiOh!;117851
3;464995;dragon_ball;6835;464995;223;Dragon Ball;444597
3;727448;touhou_(pc-98);6683;29;9874;Touhou Niji Sousaku Doujin Anime: Musou Kakyou;23374
3;525;macross;6679;525;1088;Macross;58501
3;1333464;re:zero_kara_hajimeru_isekai_seikatsu;6609;;31240;Re:Zero kara Hajimeru Isekai Seikatsu;720575
3;492174;ore_no_imouto_ga_konna_ni_kawaii_wake_ga_nai;6540;492174;13659;Ore no Imouto ga Konnani Kawaii Wake ga Nai.;260048
3;341;saki;6504;341;5671;Saki;64971
3;608932;inazuma_eleven_go;6424;709959;10507;Inazuma Eleven Go;29046
3;8035;guilty_gear;6403;8035;;;
3;1302748;fire_emblem_if;6370;13133;;;
3;8027;to_heart_2;6104;8134;471;To Heart 2;15606
3;8875;one_piece;6075;8875;21;One Piece;720133
3;476461;the_king_of_fighters;6018;476461;35204;The King of Fighters: Destiny;1778
3;581558;pokemon_bw;6004;2999;9107;Pokemon Best Wishes!;44997
3;728081;rwby;5993;728081;;;
3;15060;persona_3;5947;11485;24543;Persona 3 the Movie 3: Falling Down;32435
3;24;tsukihime;5911;24;;;
3;642967;fate/extra_ccc;5814;662939;;;
3;1402258;fire_emblem_heroes;5741;13133;;;
3;458021;super_mario_bros.;5596;528471;;;
3;383680;vampire_(game);5525;;11031;Vampire;3407
3;479549;rebuild_of_evangelion;5483;12658;31;Neon Genesis Evangelion: Death & Rebirth;121923
3;409161;bakemonogatari;5335;668121;5081;Bakemonogatari;663591
3;7447;mahou_shoujo_lyrical_nanoha_a's;5271;527593;77;Mahou Shoujo Lyrical Nanoha A;47870
3;547419;yuru_yuri;5178;547419;10495;Yuru Yuri;199097
3;388861;rockman;5147;388861;;;
3;672608;fire_emblem:_kakusei;5078;13133;;;
3;395969;macross_frontier;5018;525;3572;Macross F;109148
3;474471;little_busters!;4953;474471;13655;Little Busters!;175117
3;1439950;splatoon_1;4940;1500438;;;
3;112;clannad;4915;112;2167;Clannad;739894
3;547303;pokemon_(anime);4905;2999;;;
3;8028;ragnarok_online;4880;8028;;;
3;384569;gundam_00;4850;76;;;
3;716716;dokidoki!_precure;4756;464822;16419;Dokidoki! Precure;10046
3;418817;axis_powers_hetalia;4740;418817;5060;Hetalia Axis Powers;173776
3;504690;to_love-ru;4711;504690;3455;To LOVE-Ru;321456
3;1394832;nier_(series);4710;1394832;;;
3;376302;kamen_rider;4655;376302;;;
3;7516;final_fantasy_vii;4643;7525;408;Final Fantasy VII: Last Order;52990
3;656064;high_school_dxd;4640;656064;11617;High School DxD;587381
3;1625;bleach;4626;1625;269;Bleach;819284
3;418119;black_rock_shooter;4613;418119;11285;BlackRock Shooter (TV);245436
3;399932;pixiv_fantasia;4583;399932;;;
3;1336966;idolmaster_cinderella_girls_starlight_stage;4576;2831;;;
3;549735;heartcatch_precure!;4532;464822;7645;Heartcatch Precure!;16447
3;376472;monster_hunter;4457;376472;;;
3;407621;queen's_blade;4390;407621;4719;Queen Blade: Rurou no Senshi;61847
3;525628;angel_beats!;4370;;6547;Angel Beats!;1010771
3;698622;puzzle_&_dragons;4370;698622;37096;Puzzle & Dragon;438
3;1292950;boku_no_hero_academia;4367;1292950;31964;Boku no Hero Academia;763973
3;1337483;nier_automata;4333;1394832;;;
3;464998;dragon_ball_z;4268;464995;813;Dragon Ball Z;534974
3;619321;senran_kagura;4259;619321;15119;Senran Kagura;74140
3;1436498;darling_in_the_franxx;4234;;35849;Darling in the FranXX;276912
3;705938;mahou_shoujo_madoka_magica_movie;4215;592923;11977;Mahou Shoujo MadokaMagica Movie 1: Hajimari no Monogatari;115228
3;465231;cardcaptor_sakura;4214;465231;232;Cardcaptor Sakura;237669
3;376747;nitroplus;4128;;;;
3;452550;inazuma_eleven;4092;709959;;;
3;1492638;new_super_mario_bros._u_deluxe;4057;528471;;;
3;406442;elsword;3997;;32613;Elsword: El-ui Yeoin;16240
3;1503961;warship_girls_r;3956;;;;
3;555228;panty_&_stocking_with_garterbelt;3954;;8795;Panty & Stocking with Garterbelt;206721
3;15410;phantasy_star;3949;15410;31223;Phantasy Star Online 2 The Animation;43504
3;1440438;idolmaster_1;3944;2831;;;
3;3253;megami;3872;;;;
3;1254756;kono_subarashii_sekai_ni_shukufuku_wo!;3762;;30831;Kono Subarashii Sekai ni Shukufuku wo!;580873
3;1334854;osomatsu-san;3719;508040;31174;Osomatsu-san;97956
3;1465896;aikatsu!_(series);3719;1465896;;;
3;477170;os-tan;3698;;;;
3;663180;senki_zesshou_symphogear;3597;663180;11751;Senki Zesshou Symphogear;63699
3;8064;dead_or_alive;3596;8064;;;
3;593803;suite_precure;3550;464822;9893;Suite Precure;8962
3;508040;osomatsu-kun;3492;508040;9884;Osomatsu-kun;2038
3;1285847;dungeon_ni_deai_wo_motomeru_no_wa_machigatteiru_darou_ka;3490;1285847;28121;Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka;563323
3;521761;voiceroid;3481;385445;;;
3;1238750;gundam_build_fighters;3480;76;19319;Gundam Build Fighters;42193
3;1837;disgaea;3477;1837;860;Makai Senki Disgaea;34064
3;699337;kagerou_project;3472;699337;;;
3;569558;fate/kaleid_liner_prisma_illya;3448;662939;14829;Fate/kaleid liner PrismaIllya;143884
3;530753;infinite_stratos;3435;530753;9041;IS: Infinite Stratos;339292
3;509813;skullgirls;3423;509813;;;
3;433036;super_smash_bros.;3401;433036;;;
3;8055;super_robot_wars;3389;8055;;;
3;510190;mahou_sensei_negima!;3352;;157;Mahou Sensei Negima!;95850
3;490556;final_fantasy_xiv;3332;7525;;;
3;1308754;flower_knight_girl;3267;;;;
3;7582;maria-sama_ga_miteru;3236;;158;Maria-sama ga Miteru;40592
3;436082;amagami;3223;;8676;Amagami SS;202438
3;659065;phantasy_star_online_2;3202;15410;39506;Phantasy Star Online 2: Episode Oracle;7354
3;508151;steins_gate;3190;508151;9253;Steins_Gate;1010330
3;713157;aikatsu!;3180;1465896;15061;Aikatsu!;22822
3;1262212;eromanga_sensei;3171;;32901;Eromanga-sensei;253108
3;1246634;danganronpa_1;3135;706709;;;
3;549103;boku_wa_tomodachi_ga_sukunai;3073;;10719;Boku wa Tomodachi ga Sukunai;441348
3;9952;zero_no_tsukaima;3044;9952;1195;Zero no Tsukaima;461841
3;667628;pokemon_dppt;2972;2999;;;
3;662470;chuunibyou_demo_koi_ga_shitai!;2964;662470;14741;Chuunibyou demo Koi ga Shitai!;561998
3;11964;gintama;2951;;918;Gintama;459031
